system_prompt,sample_question,sample_answer
You are helpful assistant that knows a lot of differenet facts about the world,how fast does the polar jets,"Jet streams are caused by a combination of a planet's rotation on its axis and atmospheric heating (by solar radiation and, on some planets other than Earth, internal heat )."
You are helpful assistant that knows a lot of differenet facts about the world,"what is the concept of ""wellness"" ?","Dunn (196, p. 4) defined wellness as ""an integrated method of functioning which is oriented toward maximizing the potential of which the individual is capable."
You are helpful assistant that knows a lot of differenet facts about the world,how tall Russian President Dmitry Medvedev,On 26 May 2012 he also was appointed officially as the Leader of United Russia Party.
You are helpful assistant that knows a lot of differenet facts about the world,how do you get a michelin star?,She is the first woman and first non-French national to edit the French edition.
You are helpful assistant that knows a lot of differenet facts about the world,What does a sex change entail to become a man,"It may also be performed on intersex people, often in infancy and without their consent."
You are helpful assistant that knows a lot of differenet facts about the world,WHAT ARE HERITABLE TRAITS,"In addition, heritability can change without any genetic change occurring (e.g. when the environment starts contributing to more variation)."
You are helpful assistant that knows a lot of differenet facts about the world,what is a google in math,Kasner popularized the concept in his 1940 book Mathematics and the Imagination .
You are helpful assistant that knows a lot of differenet facts about the world,what ingredients are in rockstar recovery?,"As of January 2013, Rockstar Energy Drink is available in over twenty flavors, and is in over thirty countries."
You are helpful assistant that knows a lot of differenet facts about the world,where were the biggest base camps from world war two located,"It forms the largest part of the Massachusetts Military Reservation , which also includes Otis Air National Guard Base and Coast Guard Air Station Cape Cod ."
You are helpful assistant that knows a lot of differenet facts about the world,what part of the shoulder hurts with frozen shoulder,Shoulder pain may be localized or may be deferred to areas around the shoulder or down the arm.
You are helpful assistant that knows a lot of differenet facts about the world,how did romeo and juliet die,"Today, the title characters are regarded as archetypal young lovers."
You are helpful assistant that knows a lot of differenet facts about the world,how has caribbean society and culture been shaped by colonial experiences?,"Specifically, the term ""culture"" in American anthropology had two meanings: (1) the evolved human capacity to classify and represent experiences with symbols , and to act imaginatively and creatively; and (2) the distinct ways that people living in different parts of the world classified and represented their experiences, and acted creatively."
You are helpful assistant that knows a lot of differenet facts about the world,what is the poem evangeline by longfellow about?,"Longfellow used dactylic hexameter , imitated from Greek and Latin classics, though the choice was criticized."
You are helpful assistant that knows a lot of differenet facts about the world,who has the best master cleanse,"Short term side effects include fatigue, nausea, dizziness, and dehydration, while long term harm includes loss of muscle mass."
You are helpful assistant that knows a lot of differenet facts about the world,what is the input and what is the output of a function,"In science, functions are sometimes defined by a table that gives the outputs for selected inputs."
You are helpful assistant that knows a lot of differenet facts about the world,what are the parts of plant stems?,Storage of nutrients.
You are helpful assistant that knows a lot of differenet facts about the world,how old was sue lyon when she made lolita,"The film stars James Mason as Humbert Humbert, Sue Lyon as Dolores Haze (Lolita) and Shelley Winters as Charlotte Haze with Peter Sellers as Clare Quilty."
You are helpful assistant that knows a lot of differenet facts about the world,What influence did Henry Ford's Model T have on manufacturing?,"As owner of the Ford Motor Company, he became one of the richest and best-known people in the world."
You are helpful assistant that knows a lot of differenet facts about the world,Who created the Duomo in Florence?,"Also in these languages the respective terms do not necessarily refer to a church functioning as a cathedral, but also to proto-cathedrals or simply prominent church buildings, which have never been a cathedral in the exact sense of that word."
You are helpful assistant that knows a lot of differenet facts about the world,what is an army specialist,Specialist rank insignia (U.S. Army)
You are helpful assistant that knows a lot of differenet facts about the world,How long was Mickie James with WWE?,She is also the only woman to be involved in Clockwork Orange House of Fun matches .
You are helpful assistant that knows a lot of differenet facts about the world,who fought for the falcons island,"The conflict resulted from the long-standing dispute over the sovereignty of the Falkland Islands and South Georgia and the South Sandwich Islands , which lie in the South Atlantic , east of Argentina."
You are helpful assistant that knows a lot of differenet facts about the world,who is charlie in 90210,"This is a list of the characters that have appeared on 90210 , an American teen drama ."
You are helpful assistant that knows a lot of differenet facts about the world,how old is alicia in 2009,The album garnered her an additional four Grammy Awards in 2005.
You are helpful assistant that knows a lot of differenet facts about the world,how speaker of the house is chosen,"The current Speaker is John Boehner , a Republican who represents Ohio's 8th congressional district ."
You are helpful assistant that knows a lot of differenet facts about the world,how is the house of representatives close to the people?,"The Speaker of the United States House of Representatives , who presides over the chamber, is elected by the members of the House, and is therefore traditionally the leader of the House Democratic Caucus or the House Republican Conference , whichever party has more voting members."
You are helpful assistant that knows a lot of differenet facts about the world,what was fdr's new deal,The New Deal was a series of economic programs enacted in the United States between 1933 and 1936.
You are helpful assistant that knows a lot of differenet facts about the world,how many wiccans in us,Wiccan celebration follows approximately eight seasonally based festivals known as Sabbats .
You are helpful assistant that knows a lot of differenet facts about the world,What building in NYC did Frank LLoyd Wright Design,"Wright was a leader of the Prairie School movement of architecture and developed the concept of the Usonian home, his unique vision for urban planning in the United States."
You are helpful assistant that knows a lot of differenet facts about the world,how is whooping cough distinguished from similar diseases,Prevention by vaccination is of primary importance given the seriousness of the disease in children.
You are helpful assistant that knows a lot of differenet facts about the world,what religion is church of christ,Restoration Movement groups originating in Scotland and the U.S.
You are helpful assistant that knows a lot of differenet facts about the world,what year did fiji become a island,"The two major islands, Viti Levu and Vanua Levu , account for 87% of the population of almost 850,000."
You are helpful assistant that knows a lot of differenet facts about the world,what episode on weeds do they find peter's body,The cast of the sixth season of Weeds.
You are helpful assistant that knows a lot of differenet facts about the world,what day is st. patricks day,"Christians also attend church services , and the Lenten restrictions on eating and drinking alcohol are lifted for the day, which has encouraged and propagated the holiday's tradition of alcohol consumption."
You are helpful assistant that knows a lot of differenet facts about the world,what year was President kennedy president?,"However, ABC News in their investigation, The Kennedy Assassination: Beyond Conspiracy, confirmed the findings of the Warren Commission; having concluded Oswald acted alone."
You are helpful assistant that knows a lot of differenet facts about the world,where is the t-bone on the cow,Porterhouse steaks are even more highly valued due to their larger tenderloin.
You are helpful assistant that knows a lot of differenet facts about the world,what are alveolar walls composed of?,"Carbon dioxide rich blood is pumped from the rest of the body into the alveolar blood vessels where, through diffusion , it releases its carbon dioxide and absorbs oxygen."
You are helpful assistant that knows a lot of differenet facts about the world,how was the toreador fresco completed,"By the 13th century, it was called Makruteikhos 'Long Wall'; the bishops of Gortyn continued to call themselves Bishops of Knossos until the 19th century."
You are helpful assistant that knows a lot of differenet facts about the world,what is a depolarizing and nondepolarizing agent,Myofibril
You are helpful assistant that knows a lot of differenet facts about the world,"What region do the ohio river,big sandy river and tug fork river border","Two well-known fiddle tunes take their name from the Big Sandy River: ""Sandy River Belle"" and the ""Big Sandy River""."
You are helpful assistant that knows a lot of differenet facts about the world,where is cougar town filmed,The pilot episode of the show was broadcast after Modern Family .
You are helpful assistant that knows a lot of differenet facts about the world,who makes skittles?,"Skittles is a brand of fruit-flavoured sweets , currently produced and marketed by the Wm. Wrigley Jr. Company , a division of Mars, Inc."
You are helpful assistant that knows a lot of differenet facts about the world,where is al jazeera based,"The original Al Jazeera channel's willingness to broadcast dissenting views, for example on call-in shows, created controversies in the Arab States of the Persian Gulf ."
You are helpful assistant that knows a lot of differenet facts about the world,how does a triplexer work?,A diplexer does not.
You are helpful assistant that knows a lot of differenet facts about the world,what are schedule II drugs?,The drug or other substance has a currently accepted medical use in treatment in the United States or a currently accepted medical use with severe restrictions.
You are helpful assistant that knows a lot of differenet facts about the world,who invented the wheelbarrow,"The term ""wheelbarrow"" is made of two words: ""wheel"" and ""barrow."""
You are helpful assistant that knows a lot of differenet facts about the world,who owns youtube,"YouTube is a video-sharing website, created by three former PayPal employees in February 2005, on which users can upload, view and share videos."
You are helpful assistant that knows a lot of differenet facts about the world,where fourth of july came from,"Independence Day is commonly associated with fireworks , parades, barbecues , carnivals, fairs, picnics, concerts, baseball games , family reunions , and political speeches and ceremonies, in addition to various other public and private events celebrating the history, government, and traditions of the United States."
You are helpful assistant that knows a lot of differenet facts about the world,How long was Mickie James with WWE?,James also won her first Divas Championship at Night of Champions in 2009 to become the second Diva to hold both the Women's and Divas titles.
You are helpful assistant that knows a lot of differenet facts about the world,where were dwarves in lord of the rings,"It was decided for economic reasons to publish The Lord of the Rings as three volumes over the course of a year from 29 July 1954 to 20 October 1955, thus creating the now familiar Lord of the Rings trilogy."
You are helpful assistant that knows a lot of differenet facts about the world,what is ARM chipset,In 2012 AMD announced that in 2014 it would start producing server chips based on the 64-bit ARM core.
You are helpful assistant that knows a lot of differenet facts about the world,when was the telephone answering machine invented?,A dual compact cassette tape based Panasonic answering machine
You are helpful assistant that knows a lot of differenet facts about the world,where does a price floor and price ceiling go on a graph,Non-binding price ceiling
You are helpful assistant that knows a lot of differenet facts about the world,what are federal regulations on flex spending money,"One significant disadvantage to using an FSA is that funds not used by the end of the plan year are lost to the employee, known as the ""use it or lose it"" rule."
You are helpful assistant that knows a lot of differenet facts about the world,what was the majority rule in the case Bowers v. Hardwick,"Bowers v. Hardwick, , is a United States Supreme Court decision, overturned in 2003, that upheld, in a 5-4 ruling, the constitutionality of a Georgia sodomy law criminalizing oral and anal sex in private between consenting adults when applied to homosexuals."
You are helpful assistant that knows a lot of differenet facts about the world,what is the life span of June bugs,"Phyllophaga (genus) , a genus of beetles in the subfamily Melolonthinae of the family Scarabaeidae, also known as June bugs or June Beetles"
You are helpful assistant that knows a lot of differenet facts about the world,what is brown flax,"Flax is grown on the Canadian Prairies for linseed oil, which is used as a drying oil in paints and varnish and in products such as linoleum and printing inks."
You are helpful assistant that knows a lot of differenet facts about the world,who was president of texas when it was annexed into the united states?,Comancheria prior to 1850
You are helpful assistant that knows a lot of differenet facts about the world,how big is a land section generally,"After the Civil War Freedmen (freed slaves) were reckoned to be self-sufficient with "" 40 acres and a mule ."""
You are helpful assistant that knows a lot of differenet facts about the world,how many chinese fought in korean war,The Korean Peninsula was ruled by the Empire of Japan from 1910 until the end of World War II.
You are helpful assistant that knows a lot of differenet facts about the world,how many single people on Valentine's Day,"It serves as an alternative to Valentine's Day for people who are single, that is, not involved in a romantic relationship ."
You are helpful assistant that knows a lot of differenet facts about the world,what is an open mare?,"The word can also be used for other female equine animals, particularly mules and zebras , though a female donkey is usually called a ""jenny."""
You are helpful assistant that knows a lot of differenet facts about the world,when did qing dynasty begin,Complete pacification of China was accomplished around 1683 under the Kangxi Emperor .
You are helpful assistant that knows a lot of differenet facts about the world,Who created the Duomo in Florence?,"Perhaps the best known Duomo is Milan Cathedral , but other well-known cathedrals include San Giovanni in Laterano in Rome and those of Alba , Ancona , Mantua , Parma and Florence 's Santa Maria del Fiore ."
You are helpful assistant that knows a lot of differenet facts about the world,how is seville,"Seville was founded as the Roman city of Hispalis, and was known as Ishbiliya ( Arabic :) after the Muslim conquest in 712."
You are helpful assistant that knows a lot of differenet facts about the world,what religion is primary in africa?,The continent's various populations and individuals are mostly adherents of Christianity or Islam .
You are helpful assistant that knows a lot of differenet facts about the world,what was the occupation of agatha christie's second husband,"Christie's stage play The Mousetrap holds the record for the longest initial run: it opened at the Ambassadors Theatre in London on 25 November 1952 and as of 2012 is still running after more than 25,000 performances."
You are helpful assistant that knows a lot of differenet facts about the world,what is the acid in automobiles,Each cell provides 2.1 volts for a total of 12.6 volt at full charge.
You are helpful assistant that knows a lot of differenet facts about the world,what happened to george o'malley on grey's anatomy?,"O'Malley married and divorced Callie Torres ( Sara Ramirez ), and also entertained romantic correlations with Meredith, Stevens, and Olivia Harper ( Sarah Utterback )."
You are helpful assistant that knows a lot of differenet facts about the world,who first synthesized heroin,"The white crystalline form considered ""pure heroin"" is usually the hydrochloride salt, diacetylmorphine hydrochloride."
You are helpful assistant that knows a lot of differenet facts about the world,who is flo from progressive,"She is played by actress and comedian Stephanie Courtney , and has a fan base on social networks like Facebook ."
You are helpful assistant that knows a lot of differenet facts about the world,where was sara shepard born,"Sara Shepard is an American author known for the bestselling Pretty Little Liars and The Lying Game book series, both of which have been turned into television shows on ABC Family ."
You are helpful assistant that knows a lot of differenet facts about the world,WHEN WERE SOUTHERN STATES READMITTED TO US,"By 1865, all Confederate forces had surrendered to U.S. forces , and the Confederacy collapsed."
You are helpful assistant that knows a lot of differenet facts about the world,what is nicki minaj real name,"Its most successful single "" Super Bass "" has been certified quadruple-platinum and has sold more than four million copies, becoming one of the best-selling singles in the United States ."
You are helpful assistant that knows a lot of differenet facts about the world,what year was smokey the bear invented,"During the 1950s, that variant of the name became widespread both in popular speech and in print, including at least one standard encyclopedia."
You are helpful assistant that knows a lot of differenet facts about the world,what does s.h.i.e.l.d stand for,It was changed in 1991 to Strategic Hazard Intervention Espionage Logistics Directorate.
You are helpful assistant that knows a lot of differenet facts about the world,when does harley release new year models,"Except for the modern VRSC model family, current Harley-Davidson motorcycles reflect the styles of classic Harley designs."
You are helpful assistant that knows a lot of differenet facts about the world,who was at the late late show before craig ferguson,In its current incarnation it has been hosted by Craig Ferguson since January 2005.
You are helpful assistant that knows a lot of differenet facts about the world,what is the song going under by evanescence about?,"It ranked at number 12 on the list of ""The 15 Scariest Music Videos Ever"" published by Billboard ."
You are helpful assistant that knows a lot of differenet facts about the world,how indians ended up in fiji,These were complemented by the later arrival of Gujarati and Punjabi immigrants who arrived as free settlers in contrast to their counterparts who were brought under the indentured labour system.
You are helpful assistant that knows a lot of differenet facts about the world,how thick is 26 gauge wire,"The AWG tables are for a single, solid, round conductor."
You are helpful assistant that knows a lot of differenet facts about the world,what is the size of the largest cannon ball,"The first cannon in Europe were probably used in Iberia in the 11 and 12th centuries, and English cannon were first deployed in the Hundred Years' War , at the Battle of Crécy , in 1346."
You are helpful assistant that knows a lot of differenet facts about the world,where did jefferson davis die,"She bequeathed Davis her plantation upon her death in 1878, as well as additional funds for his support."
You are helpful assistant that knows a lot of differenet facts about the world,how many members are in the house of representatives,The composition and powers of the House are established in Article One of the United States Constitution .
You are helpful assistant that knows a lot of differenet facts about the world,who created massey ferguson,A Massey Ferguson MF 3660 tractor from the early 1990s
You are helpful assistant that knows a lot of differenet facts about the world,Who is the home team in Super Bowl XLV,"Currently, the National Football Conference (NFC) leads the series with 25 wins to 22 wins for the American Football Conference (AFC)."
You are helpful assistant that knows a lot of differenet facts about the world,what day is 2011 super bowl?,"Green Bay dominated most of the first half of Super Bowl XLV, jumping to a 21–3 lead before Pittsburgh cut it down to 21-10 just before halftime."
You are helpful assistant that knows a lot of differenet facts about the world,where does mike huckabee live,"Huckabee is the author of several best selling books, an ordained Southern Baptist minister , musician and a public speaker ."
You are helpful assistant that knows a lot of differenet facts about the world,where were the biggest base camps from world war two located,"Today, the Camp is home to two training centers for National Guard troops."
You are helpful assistant that knows a lot of differenet facts about the world,when was singapore's government created,"In 1955, a Council of Ministers was created, appointed by the Governor on the recommendation of the Leader of the House."
You are helpful assistant that knows a lot of differenet facts about the world,WHEN WERE SOUTHERN STATES READMITTED TO US,"The Confederacy recognized as members eleven states that had formally declared secession, two additional states with less formal declarations, and one new territory."
You are helpful assistant that knows a lot of differenet facts about the world,how hard is it to weld a 2 inch schedule 80 pipe,Many industrial and government standards exist for the production of pipe and tubing.
You are helpful assistant that knows a lot of differenet facts about the world,WHere is a famous alluvial plain,The plain is divided into the Mississippi River Delta in the southern half of Louisiana and the inland Mississippi embayment running from central Louisiana to Illinois.
You are helpful assistant that knows a lot of differenet facts about the world,what stops superman?,"The origin story of Superman relates that he was born Kal-El on the planet Krypton , before being rocketed to Earth as an infant by his scientist father Jor-El , moments before Krypton's destruction."
You are helpful assistant that knows a lot of differenet facts about the world,what percentage of water in in the body,"In physiology , body water is the water content of the human body ."
You are helpful assistant that knows a lot of differenet facts about the world,who invented the wheelbarrow,A common wheelbarrow.
You are helpful assistant that knows a lot of differenet facts about the world,how many star wars books are there,"However, for a complete list of Star Wars comic books and graphic novels please refer to Star Wars Comic Books ."
You are helpful assistant that knows a lot of differenet facts about the world,what is atherosclerotic heart disease,"Atherosclerosis affects the entire artery tree, but mostly larger, high-pressure vessels such as the coronary, renal, femoral, cerebral, and carotid arteries."
You are helpful assistant that knows a lot of differenet facts about the world,what is vanilla flavor used for,"In 1837, Belgian botanist Charles François Antoine Morren discovered this fact and pioneered a method of artificially pollinating the plant."
You are helpful assistant that knows a lot of differenet facts about the world,how did romeo and juliet die,"Romeo and Juliet has been adapted numerous times for stage, film, musical and opera."
You are helpful assistant that knows a lot of differenet facts about the world,who is Dr. JB Danquah,"Nana Joseph Kwame Kyeretwie Boakye Danquah (December 1895 – 4 February 1965) was a Ghanaian statesman , pan-Africanist , scholar and historian ."
You are helpful assistant that knows a lot of differenet facts about the world,what is general chu chicken,"The dish is reported to have been introduced to New York City in the early 1970s as an example of Hunan cooking , though it is not typical of Hunanese cuisine, which is traditionally very spicy and rarely sweet."
You are helpful assistant that knows a lot of differenet facts about the world,what is the history of the coffee,"The story of Kaldi , the 9th-century Ethiopian goat herder who discovered coffee while searching for his goats, did not appear in writing until 1671 and is probably apocryphal."
You are helpful assistant that knows a lot of differenet facts about the world,how did the us finally force and defeat the indians,"The opposing force of about 1,000 Americans was led by General Arthur St. Clair , who had proved to be an able commander during the American Revolutionary War ."
You are helpful assistant that knows a lot of differenet facts about the world,who designed the statue of liberty,"The statue, including the pedestal and base, was closed for a year until October 28, 2012, so that a secondary staircase and other safety features could be installed; Liberty Island remained open."
You are helpful assistant that knows a lot of differenet facts about the world,what cause the huge demand for cotton after the american revolution,"After a British army was captured by the American army at Saratoga , the French balanced naval power by entering the war in 1778 as allies of the United States."
You are helpful assistant that knows a lot of differenet facts about the world,what does uncle sam represent to the american people,Old Uncle Sam come there to change
You are helpful assistant that knows a lot of differenet facts about the world,what is rate of U.S tariff,"The 1st United States Congress , wanting a straightforward tax that was not too onerous and easy to collect, passed the Tariff of 1790 ."
You are helpful assistant that knows a lot of differenet facts about the world,what year was smokey the bear invented,"From the beginning, Smokey's name was intentionally spelled differently from the adjective smoky."
You are helpful assistant that knows a lot of differenet facts about the world,what is adoration catholic church,"From a theological perspective, the adoration is a form of latria , based on the tenet of the presence of Christ in the Blessed Host."
You are helpful assistant that knows a lot of differenet facts about the world,what is the oath of allegiance of the united states,"In some cases, the United States Bureau of Citizenship and Immigration Services (CIS) allows the oath to be taken without the clauses regarding the bearing of arms and performance of noncombatant military service."
You are helpful assistant that knows a lot of differenet facts about the world,what is the main component of vaccines,Jonas Salk in 1955 holds two bottles of a culture used to grow polio vaccines.
You are helpful assistant that knows a lot of differenet facts about the world,what type of ice forms mars polar caps,"In planetary science , the term geology is used in its broadest sense to mean the study of the solid parts of planets and moons."
You are helpful assistant that knows a lot of differenet facts about the world,who was mr big on sex and the city,Big appeared in Comcast 's list of TV's Most Intriguing Characters.
You are helpful assistant that knows a lot of differenet facts about the world,What killed Frank Sinatra?,"Sinatra turned 50 in 1965, recorded the retrospective September of My Years , starred in the Emmy -winning television special Frank Sinatra: A Man and His Music , and scored hits with "" Strangers in the Night "" and "" My Way ""."
You are helpful assistant that knows a lot of differenet facts about the world,what is a ace in paddleball,One Wall Paddleball is an American ball game that consists in hitting a small rubber ball against a single wall by using paddles .
You are helpful assistant that knows a lot of differenet facts about the world,how much did k.richards make from his autobiography life ?,"Keith Richards (born 18 December 1943) is an English musician, singer-songwriter and founder member of the English rock band the Rolling Stones ."
You are helpful assistant that knows a lot of differenet facts about the world,where was john f kennedy born,Kennedy defeated Vice President and Republican candidate Richard Nixon in the 1960 U.S. presidential election .
You are helpful assistant that knows a lot of differenet facts about the world,what can a guinea pig do for a human,"They originated in the Andes , and earlier studies based on biochemistry and hybridization suggested they are domesticated descendants of a closely related species of cavy such as Cavia aperea , C. fulgida , or C. tschudii and, therefore, do not exist naturally in the wild."
You are helpful assistant that knows a lot of differenet facts about the world,how many mvps has kobe bryant won,"He declared his eligibility for the NBA Draft upon graduation, and was selected with the 13th overall pick in the 1996 NBA Draft by the Charlotte Hornets , then traded to the Los Angeles Lakers."
You are helpful assistant that knows a lot of differenet facts about the world,how many people died in the gallipoli battle,The campaign was considered one of the greatest victories of the Turks and was reflected on as a major failure by the Allies .
You are helpful assistant that knows a lot of differenet facts about the world,What band will at&t 4g network be on?,"Although marketed as a 4G wireless service, LTE as specified in the 3GPP Release 8 and 9 document series does not satisfy the technical requirements the 3GPP consortium has adopted for its new standard generation, and which were originally set forth by the ITU-R organization in its IMT-Advanced specification."
You are helpful assistant that knows a lot of differenet facts about the world,How did Bob Marley die?,"Marley remains the most widely known and the best-selling performer of reggae music, having sold more than 75 million albums worldwide."
You are helpful assistant that knows a lot of differenet facts about the world,what countries did immigrants come from during the immigration,"During the nation's history , the growing country experienced successive waves of immigration which rose and fell over time, particularly from Europe, with the cost of transoceanic transportation sometimes paid by travelers becoming indentured servants after their arrival in the New World."
You are helpful assistant that knows a lot of differenet facts about the world,how many members in a team debate?,Debate is a method of interactive and representational argument.
You are helpful assistant that knows a lot of differenet facts about the world,what books did george selden write,"He is best known for his 1961 book The Cricket in Times Square , which received a Lewis Carroll Shelf Award in 1963 and a Newbery Honor ."
You are helpful assistant that knows a lot of differenet facts about the world,what do presidents make after they leave the white house,The President of the United States of America (POTUS) is the head of state and head of government of the United States .
You are helpful assistant that knows a lot of differenet facts about the world,when did ww1 end?,"While the Russians mobilised, the Germans invaded neutral Belgium and Luxembourg on the way to France, providing a casus belli for Britain's declaration of war against Germany."
You are helpful assistant that knows a lot of differenet facts about the world,what can be powered by wind,"Offshore wind is steadier and stronger than on land, and offshore farms have less visual impact, but construction and maintenance costs are considerably higher."
You are helpful assistant that knows a lot of differenet facts about the world,what are circumpolar constellations,"In the northern hemisphere, we will always be able to see stars and constellations in the northern circumpolar sky, while in the southern hemisphere, we will always be able to see stars and constellations in the southern circumpolar sky."
You are helpful assistant that knows a lot of differenet facts about the world,who invented the wheelbarrow,"A two-wheel type is more stable on level ground, while the almost universal one-wheel type has better maneuverability in small spaces, on planks or when tilted ground would throw the load off balance."
You are helpful assistant that knows a lot of differenet facts about the world,what are federal regulations on flex spending money,"A flexible spending account (FSA), also known as a flexible spending arrangement, is one of a number of tax-advantaged financial accounts that can be set up through a cafeteria plan of an employer in the United States."
You are helpful assistant that knows a lot of differenet facts about the world,what is the second season of tsubasa called?,Bee Train adapted the manga series into a fifty-two-episode anime entitled Tsubasa Chronicle directed by Kōichi Mashimo with Hiroshi Morioka joining on as co-director for season two.
You are helpful assistant that knows a lot of differenet facts about the world,what is the name of the team that tom lasorda made his mlb debut in 1954,He was inducted into the National Baseball Hall of Fame as a manager in 1997.
You are helpful assistant that knows a lot of differenet facts about the world,how many amendments in us,It is supplemented and interpreted by a large body of United States constitutional law .
You are helpful assistant that knows a lot of differenet facts about the world,who is emilio estevez related to,His first movie was The Outsiders .
You are helpful assistant that knows a lot of differenet facts about the world,what is brown flax,"A discovery reported in 2009 of spun, dyed, and knotted wild flax fibers in a prehistoric cave in the Republic of Georgia shows that the plant was already in use by humans at the surprisingly early date of 30,000 BC."
You are helpful assistant that knows a lot of differenet facts about the world,when does the royal standard fly?,"Although almost universally called a standard, such flags when used in the United Kingdom are banners of arms , as they comprise the shield of the Royal Arms ."
You are helpful assistant that knows a lot of differenet facts about the world,how much calcium is in salt water,Seawater is water from a sea or ocean .
You are helpful assistant that knows a lot of differenet facts about the world,who designed the statue of liberty,"The statue was constructed in France, shipped overseas in crates, and assembled on the completed pedestal on what was then called Bedloe's Island."
You are helpful assistant that knows a lot of differenet facts about the world,what percent of school shootings commit suicide?,"Suicide and attempted suicide, while previously criminally punishable, is no longer in most Western countries."
You are helpful assistant that knows a lot of differenet facts about the world,what is email with windows live?,"Windows Live Mail (formerly named Windows Live Mail Desktop, code-named Elroy) is a freeware email client from Microsoft ."
You are helpful assistant that knows a lot of differenet facts about the world,what is vanilla flavor used for,"Vanilla is the second most expensive spice after saffron , because growing the vanilla seed pods is labor-intensive."
You are helpful assistant that knows a lot of differenet facts about the world,when did texas become a state,The state's annexation set off a chain of events that caused the Mexican–American War in 1846.
You are helpful assistant that knows a lot of differenet facts about the world,what is adoration catholic church,"It has been practiced by such as Peter Julian Eymard , Jean Vianney and Thérèse of Lisieux ."
You are helpful assistant that knows a lot of differenet facts about the world,what is a D.O. stand for medical doctor,"Many D.O. physicians attend the same graduate medical education programs as their M.D. counterparts, and then take M.D. specialty board exams, while other D.O. graduates enter osteopathic programs and take D.O. specialty board examinations."
You are helpful assistant that knows a lot of differenet facts about the world,what is rate of U.S tariff,"Tariffs in United States history have played important roles in trade policy , political debates and the nation's economic history ."
You are helpful assistant that knows a lot of differenet facts about the world,how old is alicia in 2009,She became the first female to have an MTV Unplugged album to debut at number one and the highest since Nirvana in 1994.
You are helpful assistant that knows a lot of differenet facts about the world,how big is a land section generally,"In U.S. land surveying under the Public Land Survey System (PLSS), a section is an area nominally one square mile , containing , with 36 sections making up one survey township on a rectangular grid."
You are helpful assistant that knows a lot of differenet facts about the world,what county is jacksonville florida in,It ranks alongside cities such as Liverpool and Las Vegas .
You are helpful assistant that knows a lot of differenet facts about the world,when did silicone boobs happen,"A breast implant is a medical prosthesis used to augment, reconstruct, or create the physical form of breasts ."
You are helpful assistant that knows a lot of differenet facts about the world,what is psi in pressure,Pressure as exerted by particle collisions inside a closed container.
You are helpful assistant that knows a lot of differenet facts about the world,what was fdr's new deal,"In the 1960s, Lyndon B. Johnson 's Great Society used the New Deal as inspiration for a dramatic expansion of liberal programs, which Republican Richard M. Nixon generally retained."
You are helpful assistant that knows a lot of differenet facts about the world,what county is jacksonville florida in,"Jacksonville is the principal city in the Jacksonville metropolitan area , with a population of 1,345,596 in 2010."
You are helpful assistant that knows a lot of differenet facts about the world,what is spongebob's real address,"He chose ""SquarePants"" as a family name as it referred to the character's square shape and it had a ""nice ring to it""."
You are helpful assistant that knows a lot of differenet facts about the world,who is emilio estevez related to,"He is also known for Repo Man , The Mighty Ducks and its sequels, Maximum Overdrive , Bobby (which he also wrote and directed), and his performances in Western films such as Young Guns and its sequel ."
You are helpful assistant that knows a lot of differenet facts about the world,what is spongebob's real address,"On April 12, 2012, SpongeBob aired its 174th episode and has produced 204 episodes, and more episodes will be produced, marking it as the first Nicktoon to have 200 or more episodes."
You are helpful assistant that knows a lot of differenet facts about the world,what state was john mccain a senator in during the 2008 election,"As the campaign progressed, the War in Iraq and outgoing Republican President George W. Bush had become increasingly unpopular, and the major-party candidates ran on a platform of change and reform."
You are helpful assistant that knows a lot of differenet facts about the world,who was queen elizabeth the II mother,"In 1947, she married Prince Philip, Duke of Edinburgh , with whom she has four children: Charles , Anne , Andrew , and Edward ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the purpose of child support?,"In family law , child support is often arranged as part of a divorce , marital separation , dissolution of marriage , annulment , determination of parentage or dissolution of a civil union and may supplement alimony (spousal support) arrangements."
You are helpful assistant that knows a lot of differenet facts about the world,when does social security tax stop,"The Federal Insurance Contributions Act is currently codified at Title 26 , Subtitle C, Chapter 21 of the United States Code ."
You are helpful assistant that knows a lot of differenet facts about the world,who sang I want to dance with somebody,"It was eventually surpassed by her version of "" I Will Always Love You ""."
You are helpful assistant that knows a lot of differenet facts about the world,What is the temperature of the star Altair,Altair is an A-type main sequence star with an apparent visual magnitude of 0.77 and is one of the vertices of the Summer Triangle (the other two vertices are marked by Deneb and Vega ).
You are helpful assistant that knows a lot of differenet facts about the world,what is nicki minaj real name,"Its lead single "" Starships "" became her highest-peaking single on the Billboard Hot 100 and one of the best-selling singles of 2012."
You are helpful assistant that knows a lot of differenet facts about the world,What killed Frank Sinatra?,"Two years later, however, he came out of retirement and in 1973 recorded several albums, scoring a Top 40 hit with "" (Theme From) New York, New York "" in 1980."
You are helpful assistant that knows a lot of differenet facts about the world,what south american country is a colony,"The continent is culturally, ethnically and racially diverse; hosting cultures and peoples originating in South America as well as Europe, Africa and Asia."
You are helpful assistant that knows a lot of differenet facts about the world,what are there alpine skiing events,"Super-giant slalom and downhill have few turns, the courses have gates spaced widely apart and skiers often reach 100 km/h."
You are helpful assistant that knows a lot of differenet facts about the world,What are the challenges that foreign firms face in majority Muslim country?,Map of the world of Muslim majority areas.
